SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
000009.38+135618.4,0.03908584727383868,13.938451654145455,6177,56268,386,2.239,97,0.18024421460132936,0.5765112506912868,2CXO J000009.3+135618,0.039114848823714965,13.938493064713647,0.7899903040178322,0.7730185725804267,64.1712829770554,1.9487179487179596,TRUE,false,false,false,2.9529319268079E-15,1.243339758656E-15,4.6625240949599E-15,,,,2.9529319268079E-15,1.243339758656E-15,4.6625240949599E-15,,,,0.18025622514251846
000015.47+005246.8,0.06449700146913527,0.8796769976615906,685,52203,439,1.8516,174,0.3045487068637004,0.7708822726500456,2CXO J000015.4+005246,0.06450924791431589,0.8795932960161988,2.5597709314280594,1.8742222086595257,26.798362829957455,6.031108403446741,TRUE,false,false,false,4.6592282434639E-14,3.6238441893608E-14,5.694612297567E-14,,,,4.6592282434639E-14,3.6238441893608E-14,5.694612297567E-14,,,,0.3045333076471567
000026.29+134604.6,0.10958199948072432,13.767969131469727,750,52235,87,0.7676,303,0.20380905660660384,0.8560486519111425,2CXO J000026.2+134604,0.1095247751061379,13.767979876313253,2.7500312708493984,1.6650385381871657,92.06312701321337,8.365197609708357,TRUE,false,false,false,1.3817491788468E-13,1.1867902148479E-13,1.5652399684927E-13,,,,1.3817491788468E-13,1.1867902148479E-13,1.5652399684927E-13,,,,0.20379330256392536
000102.74+023503.2,0.2614516132118752,2.584228060715206,7852,56987,675,0.76488984,680,0.3907686070617523,0.37517056469883614,2CXO J000102.7+023502,0.2614176619322848,2.584124951311108,1.0786760013558863,0.8277148176547465,170.9809470520237,7.080626230213496,TRUE,false,false,false,1.2976443862228E-13,1.113987516261E-13,1.4813012561846E-13,,,,1.2976443862228E-13,1.113987516261E-13,1.4813012561846E-13,,,,0.3907599824045911
000104.46+024349.3,0.2686057288062784,2.7303831039362705,4277,55506,96,0.8959999999999999,698,1.020934686691602,0.8155159583012089,2CXO J000104.4+024350,0.26855924073470305,2.7306628690221073,10.710752786383061,10.555547938380546,22.90815979843086,3.5757575757575437,TRUE,false,false,false,7.312133137866E-14,3.4898817248906E-14,1.1134384550841E-13,,,,7.312133137866E-14,3.4898817248906E-14,1.1134384550841E-13,,,,1.0209332121781687
000106.87+023845.9,0.2786610863713577,2.6461103499661784,4296,55499,684,1.76,716,1.4218877851059961,0.5534658398350938,2CXO J000106.9+023846,0.27904403078724727,2.646208669415818,5.873520009647465,4.975823154462446,23.803282581434843,1.8378378378378621,MARGINAL,false,false,false,3.1956231106219E-15,6.1454290588883E-16,5.6537947341773E-15,,,,3.1956231106219E-15,6.1454290588883E-16,5.6537947341773E-15,,,,1.4218886612329447
000130.57+130847.3,0.3773839145674742,13.146474618937836,5649,55912,558,3.051,981,0.3392380385584599,0.34195808443106335,2CXO J000130.5+130847,0.377362251500017,13.146566460599995,0.8739105713397723,0.8739105713397723,0.0,3.874999999999956,TRUE,false,false,false,2.9687469129205E-15,2.1009593537591E-15,3.7908614426523E-15,,,,2.9687469129205E-15,2.1009593537591E-15,3.7908614426523E-15,,,,0.3392396571434845
000130.63+233443.5,0.3776292966981599,23.57877725531552,6513,56543,91,2.93,983,0.1517927908939412,0.767829546896023,2CXO J000130.6+233443,0.37761525094299486,23.578817393627478,1.2585766263171525,0.9967006742413596,100.46158163712695,8.269297821609092,TRUE,false,false,false,2.8722551066843E-14,2.4885194164515E-14,3.2334181092564E-14,,,,2.8722551066843E-14,2.4885194164515E-14,3.2334181092564E-14,,,,0.15174759885975203
000137.55+023041.2,0.4064626800239921,2.5114690778308395,7852,56987,715,1.6359932,1051,0.0821860800492538,0.9216769244702989,2CXO J000137.5+023041,0.4064556220976101,2.5114473706216205,2.04604801151483,1.179797160780869,86.826067707437,2.7027027027027075,TRUE,false,false,false,3.4910268829101E-14,2.2086088442901E-14,4.7734449215301E-14,,,,3.4910268829101E-14,2.2086088442901E-14,4.7734449215301E-14,,,,0.08216534568589069
000150.39+023830.2,0.4599938244359692,2.64173369285381,4296,55499,728,0.9490000000000001,1160,0.7028503608939968,0.5487119096565425,2CXO J000150.3+023830,0.45991004776078626,2.64191008272508,2.8688755315627295,1.9835538237139776,48.01826192483759,5.14285714285709,TRUE,false,false,false,7.0450769058015E-14,5.5705259255175E-14,8.4377083871809E-14,,,,7.0450769058015E-14,5.5705259255175E-14,8.4377083871809E-14,,,,0.7028487842382334
