,Unnamed: 0,SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation,F2500,Avg S2N
0,0,000009.38+135618.4,0.03908584727383868,13.938451654145455,6177,56268,386,2.239,97,0.18024421460132936,0.5765112506912868,2CXO J000009.3+135618,0.03911484882371497,13.938493064713647,0.7899903040178322,0.7730185725804267,64.1712829770554,1.9487179487179598,TRUE,False,False,False,2.9529319268079e-15,1.2433397586560002e-15,4.6625240949599e-15,,,,2.9529319268079e-15,1.2433397586560002e-15,4.6625240949599e-15,,,,0.18025622514251846,5.365869998931885,37.918213
1,1,000015.47+005246.8,0.06449700146913527,0.8796769976615906,685,52203,439,1.8516,174,0.3045487068637004,0.7708822726500456,2CXO J000015.4+005246,0.06450924791431589,0.8795932960161988,2.5597709314280594,1.8742222086595253,26.798362829957448,6.0311084034467415,TRUE,False,False,False,4.6592282434639014e-14,3.6238441893608004e-14,5.694612297567e-14,,,,4.6592282434639014e-14,3.6238441893608004e-14,5.694612297567e-14,,,,0.3045333076471567,3.7972211837768555,9.2345295
2,5,000106.87+023845.9,0.2786610863713577,2.6461103499661784,4296,55499,684,1.76,716,1.421887785105996,0.5534658398350938,2CXO J000106.9+023846,0.2790440307872473,2.6462086694158184,5.873520009647465,4.975823154462447,23.80328258143485,1.8378378378378617,MARGINAL,False,False,False,3.1956231106219e-15,6.1454290588883e-16,5.653794734177301e-15,,,,3.1956231106219e-15,6.1454290588883e-16,5.653794734177301e-15,,,,1.4218886612329449,0.49486878514289856,8.557245
3,6,000130.57+130847.3,0.3773839145674742,13.146474618937836,5649,55912,558,3.051,981,0.3392380385584599,0.3419580844310633,2CXO J000130.5+130847,0.37736225150001707,13.146566460599995,0.8739105713397723,0.8739105713397723,0.0,3.874999999999956,TRUE,False,False,False,2.9687469129205e-15,2.1009593537591e-15,3.7908614426523e-15,,,,2.9687469129205e-15,2.1009593537591e-15,3.7908614426523e-15,,,,0.3392396571434845,-0.4635550081729889,3.3645132
4,7,000130.63+233443.5,0.3776292966981599,23.57877725531552,6513,56543,91,2.93,983,0.1517927908939412,0.767829546896023,2CXO J000130.6+233443,0.3776152509429949,23.57881739362748,1.2585766263171525,0.9967006742413596,100.46158163712695,8.269297821609094,TRUE,False,False,False,2.8722551066843e-14,2.4885194164515e-14,3.2334181092564e-14,,,,2.8722551066843e-14,2.4885194164515e-14,3.2334181092564e-14,,,,0.15174759885975206,1.4485732316970825,14.8022585
5,8,000137.55+023041.2,0.4064626800239921,2.5114690778308395,7852,56987,715,1.6359932,1051,0.0821860800492538,0.9216769244702988,2CXO J000137.5+023041,0.4064556220976101,2.5114473706216205,2.04604801151483,1.179797160780869,86.826067707437,2.7027027027027075,TRUE,False,False,False,3.4910268829101e-14,2.2086088442901002e-14,4.7734449215301e-14,,,,3.4910268829101e-14,2.2086088442901002e-14,4.7734449215301e-14,,,,0.08216534568589069,0.49106088280677795,3.2860155
6,11,000151.95+232421.0,0.4664740067586308,23.40584257493122,6879,56539,644,2.033,1178,0.4325791267454753,0.388937516410245,2CXO J000151.9+232421,0.4664808897731518,23.40596256880547,1.2291197350040015,0.9891177051991982,4.606882538476442,5.200000000000078,TRUE,False,False,False,8.894878110550302e-15,6.9658683998285995e-15,1.0823887821271999e-14,,,,8.894878110550302e-15,6.9658683998285995e-15,1.0823887821271999e-14,,,,0.43257606226650863,0.933684229850769,14.715708
7,14,000208.17+232437.3,0.5340731464837063,23.410373960888553,6513,56543,90,2.25,1361,0.6639228458371162,0.20147967510921616,2CXO J000208.1+232438,0.5340770115451505,23.41055835011929,1.272747068568207,1.1212866528833545,166.70645757487463,8.97309091446616,TRUE,False,False,False,3.669178640218e-14,3.2259839401516e-14,4.1123733402844004e-14,,,,3.669178640218e-14,3.2259839401516e-14,4.1123733402844004e-14,,,,0.6639240294412543,7.880025386810303,36.70585
8,15,000210.58+232608.3,0.5440957999503553,23.435660750984354,6513,56543,92,2.025,1392,1.0216885451797213,0.181229075028284,2CXO J000210.5+232608,0.5438065127702885,23.43576121887585,1.8713494701027744,1.4897416934237702,179.06863090653428,6.495883132353362,TRUE,False,False,False,1.1728477461951999e-14,8.8715406442972e-15,1.4435049183941005e-14,,,,1.1728477461951999e-14,8.8715406442972e-15,1.4435049183941005e-14,,,,1.0216845660074747,2.3203165531158447,18.217093
9,16,000223.32+010101.2,0.5972043324071024,1.0170145810361004,4216,55477,876,2.289,1532,1.4907394838077972,0.7902711899743515,2CXO J000223.3+010100,0.5974843654987012,1.0167094909971746,13.72002275503698,6.574329038021218,96.75674659000464,2.243902439024356,MARGINAL,True,False,False,2.865988229079e-14,1.3281408866463002e-14,4.403835571511599e-14,,,,2.865988229079e-14,1.3281408866463002e-14,4.403835571511599e-14,,,,1.49073807819235,0.8468185663223267,8.873029
