SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
000200.24+260148.4,0.5010316635610366,26.03012304093716,7695,57654,368,1.1424214839935303,5504,1.7245606501685826,0.47208695157739755,2CXO J000200.2+260146,0.5010168237074026,26.029644182116172,5.870615338755916,4.705691150145563,82.38255493745515,7.497428094061735,TRUE,false,false,false,1.153914725323E-13,9.0664728418236E-14,1.3874450864003E-13,,,,1.153914725323E-13,9.0664728418236E-14,1.3874450864003E-13,,,,1.724560006145424
000214.49+254130.2,0.560413546267398,25.691747068027922,7666,57339,976,0.4734472930431366,5629,1.3618306180763184,0.3080911417002863,2CXO J000214.5+254131,0.5604419297327468,25.692124489964073,3.2710732770489255,2.565479360616802,21.58512894879317,4.540540540540212,TRUE,false,false,false,1.0868960699682E-13,8.3194513997564E-14,1.3284285299611E-13,,,,1.0868960699682E-13,8.3194513997564E-14,1.3284285299611E-13,,,,1.36183542670381
000224.24+005256.1,0.6010376144000134,0.8822605014842261,7862,56984,548,1.7308433055877686,5717,0.6195313852854213,0.43230524313672136,2CXO J000224.2+005256,0.6012072563636366,0.8822314438842614,1.9312957184990216,1.1753085683847584,104.5862695472341,2.888888888888856,TRUE,false,false,false,1.6101311116177E-14,9.9828128920295E-15,2.1897783118E-14,,,,1.6101311116177E-14,9.9828128920295E-15,2.1897783118E-14,,,,0.6195339259043814
000235.51+005321.2,0.6479808220785515,0.8892405812867198,4217,55478,550,1.865,5823,0.18403050840719956,0.8111315480906168,2CXO J000235.5+005321,0.6480229808275908,0.8892116529874123,1.8850355455503047,1.225536713162016,127.7323927484425,2.5555555555556118,TRUE,false,false,false,8.7430707243006E-15,4.8572615135003E-15,1.2434589474561E-14,,,,8.7430707243006E-15,4.8572615135003E-15,1.2434589474561E-14,,,,0.1840504549383811
000525.48+105127.2,1.3561780157037902,10.857569806748112,11561,58485,357,1.351792335510254,7343,0.40975627810024384,0.8262819373702007,2CXO J000525.4+105126,1.3562397945623843,10.857473502275955,4.569956197534698,2.5100112593429493,146.18846524422594,5.52941176470527,TRUE,false,false,false,1.8213074732514E-14,7.5517626939694E-15,2.843016543612E-14,,,,1.8213074732514E-14,7.5517626939694E-15,2.843016543612E-14,,,,0.40976407770495527
000535.27-000221.5,1.3969783882663478,-0.03931406579172757,4216,55477,12,1.294,7437,1.693129778223873,0.2175105221923882,2CXO J000535.2-000219,1.397060323234939,-0.038850944875842966,3.3618631885720633,1.6283394512257445,4.7612468503650405,3.6969696969696457,TRUE,false,false,false,6.6157889331238E-15,3.47328918989E-15,9.5928939530295E-15,,,,6.6157889331238E-15,3.47328918989E-15,9.5928939530295E-15,,,,1.693126802737107
000608.37+104837.1,1.5349065918884435,10.810331473450265,11561,58485,319,0.6369723081588745,7764,0.6932484709553278,0.24261860890722198,2CXO J000608.3+104837,1.5347498345520307,10.810447120870656,1.4526525494430078,0.9743129091226509,109.97152230356785,2.7567567567570013,TRUE,false,false,false,9.1148581355219E-15,5.6512120440236E-15,1.239620706431E-14,,,,9.1148581355219E-15,5.6512120440236E-15,1.239620706431E-14,,,,0.6932477569607265
000711.24+021346.0,1.7968639641866275,2.229451828626584,7852,56987,976,1.0242286920547485,8394,0.39627798712923556,0.8396083476177343,2CXO J000711.2+021346,1.796778575265762,2.229521376811659,4.792564126961339,2.615238431504164,100.30912546792496,4.000000000000202,TRUE,false,false,false,4.2336920687662E-14,2.9250963384203E-14,5.5422877991121E-14,,,,4.2336920687662E-14,2.9250963384203E-14,5.5422877991121E-14,,,,0.39628108420201963
001146.60+322219.3,2.944177277896415,32.37204073157432,7745,58077,666,1.457082986831665,10946,0.5644026301034227,0.14949006139642496,2CXO J001146.5+322218,2.944041079679664,32.37193420719871,0.9590481997937625,0.908046496709478,170.66222516716547,2.7567567567567695,TRUE,false,false,false,1.0659069365385E-14,6.6086230065386E-15,1.4496334336923E-14,,,,1.0659069365385E-14,6.6086230065386E-15,1.4496334336923E-14,,,,0.5644051153325922
001204.59+323035.8,3.019134073026578,32.50995277091265,7748,58396,1,0.6217835545539856,11133,0.3977888920338195,0.6435631753263373,2CXO J001204.5+323036,3.0190955443562757,32.510058388134695,2.1042729909595024,2.1042685015535896,0.0,3.5294117647057384,TRUE,false,false,false,2.6093408272804E-14,1.8574968600979E-14,3.3611847944629E-14,,,,2.6093408272804E-14,1.8574968600979E-14,3.3611847944629E-14,,,,0.3978068655207818
