,Unnamed: 0,SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation,F2500,Avg S2N
0,2,000224.24+005256.1,0.6010376144000134,0.8822605014842261,7862,56984,548,1.7308433055877686,5717,0.6195313852854213,0.43230524313672136,2CXO J000224.2+005256,0.6012072563636366,0.8822314438842614,1.9312957184990216,1.1753085683847584,104.5862695472341,2.888888888888856,TRUE,False,False,False,1.6101311116177e-14,9.982812892029498e-15,2.1897783118e-14,,,,1.6101311116177e-14,9.982812892029498e-15,2.1897783118e-14,,,,0.6195339259043814,0.7459057569503784,4.860042
1,3,000235.51+005321.2,0.6479808220785515,0.8892405812867198,4217,55478,550,1.865,5823,0.1840305084071996,0.8111315480906168,2CXO J000235.5+005321,0.6480229808275908,0.8892116529874123,1.8850355455503047,1.2255367131620158,127.73239274844248,2.5555555555556118,TRUE,False,False,False,8.7430707243006e-15,4.8572615135003006e-15,1.2434589474561e-14,,,,8.7430707243006e-15,4.8572615135003006e-15,1.2434589474561e-14,,,,0.1840504549383811,1.268979549407959,20.193428
2,11,001306.55+000409.9,3.277305228893452,0.06944215705956758,7864,56979,537,2.042,11664,0.16368103372942575,0.6304349431859626,2CXO J001306.5+000410,3.277303067049957,0.06948757092897698,0.8327612156616311,0.8007158222173171,112.67278571932577,2.3428571428571345,TRUE,False,False,False,5.8963648967815e-15,3.2430006932298e-15,8.4023199779136e-15,,,,5.8963648967815e-15,3.2430006932298e-15,8.4023199779136e-15,,,,0.16367506381035535,0.3877909779548645,4.043942
3,17,001611.38+321045.4,4.047444378800718,32.179281343456076,7745,58077,863,1.6345142126083374,13111,0.4402957628670591,0.2981673110928551,2CXO J001611.3+321045,4.047484067818289,32.179398943621216,1.0361045871924208,1.0361091460491538,0.0,3.028571428571524,TRUE,False,False,False,8.1416058076873e-15,5.3233576434878e-15,1.0803284629430998e-14,,,,8.1416058076873e-15,5.3233576434878e-15,1.0803284629430998e-14,,,,0.4402939037403732,1.7441380023956299,11.056686
4,19,001625.47+321948.5,4.106161478317063,32.33015767550059,7744,58396,324,1.582732915878296,13232,0.5251425045340807,0.4974316247295747,2CXO J001625.4+321948,4.1062490701297625,32.33003197560185,1.894466219813061,1.5799728382675242,26.106571695820666,6.444862660054227,TRUE,False,False,False,4.9556146604889005e-14,3.9061903794442006e-14,5.9467375925866e-14,,,,4.9556146604889005e-14,3.9061903794442006e-14,5.9467375925866e-14,,,,0.5251368644105422,3.643803834915161,16.141056
5,25,001824.65+300906.8,4.602720957770657,30.151898862697315,7742,58076,643,1.6285308599472046,14300,0.3758078454099975,0.3651649012118999,2CXO J001824.6+300907,4.602681366179752,30.15199748409308,1.0159219429061002,0.827920230870285,19.27507011328061,2.9189189189190365,TRUE,False,False,False,5.4306028412078e-15,3.519835174856901e-15,7.240803788277099e-15,,,,5.4306028412078e-15,3.519835174856901e-15,7.240803788277099e-15,,,,0.37581990810668586,0.5173707008361816,4.377612
6,26,001845.13+301058.4,4.688043073718745,30.182914493387628,7742,58076,680,1.7539852857589722,14471,0.8266915589316415,0.16987158443871164,2CXO J001845.0+301058,4.687777666441036,30.18292435482705,1.474937251923966,0.9249816416975928,68.93890430799021,7.14201982075073,TRUE,False,False,False,3.1086548055794e-14,2.5852170776262e-14,3.6013020789471e-14,,,,3.1086548055794e-14,2.5852170776262e-14,3.6013020789471e-14,,,,0.8266912300207397,3.4850902557373047,17.729527
7,28,002017.61+283710.4,5.073398052890866,28.61957311873186,7742,58076,302,2.03322982788086,15274,0.3390987725570417,0.5381238873787171,2CXO J002017.5+283710,5.073307383742872,28.619623500544826,1.3482434508273031,1.0680396513685029,50.910378399960784,3.757575757575776,TRUE,False,False,False,2.8581807005243e-14,2.0744859923159998e-14,3.5957757200144e-14,,,,2.8581807005243e-14,2.0744859923159998e-14,3.5957757200144e-14,,,,0.33910916694295223,1.103406548500061,9.095223
8,29,002022.65+283713.3,5.094402602177183,28.6203674397124,7742,58076,257,2.603032350540161,15317,0.2778493754359885,0.4456394995580615,2CXO J002022.6+283713,5.094407894615927,28.620444480606576,0.8917539926131993,0.7976009642640273,58.21698697341796,3.7297297297293657,TRUE,False,False,False,2.9638258559936e-14,2.1734722943953e-14,3.7541794175919e-14,,,,2.9638258559936e-14,2.1734722943953e-14,3.7541794175919e-14,,,,0.2778510351684144,0.8559699654579163,7.108521
9,36,002311.70+092720.3,5.798767869015252,9.455647020094236,11312,58433,743,2.029507875442505,16832,0.5064798276717611,0.3165899232627719,2CXO J002311.7+092720,5.798789037287804,9.45578614824458,1.2380910586434657,1.2380834283851143,0.0,3.257142857142743,TRUE,False,False,False,7.3121445337654e-15,4.828774692109199e-15,9.795514375421498e-15,,,,7.3121445337654e-15,4.828774692109199e-15,9.795514375421498e-15,,,,0.5064707954921761,0.6428203582763672,11.66784
