Identifier,Data_Set,L1550,SDSS,OtherOpt,No_Optical,Best_z,Ref_z,SDSS_filename
002019.22-110609.2,HST,8.85E+29,TRUE,FALSE,FALSE,0.492049,HW10,spSpec-52145-0653-300_skysub.fit
082024.21+233450.4,HST,7.83E+29,TRUE,FALSE,FALSE,0.470576,HW10,spSpec-53317-1926-378_skysub.fit
082658.85+061142.6,HST,9.61E+29,TRUE,FALSE,FALSE,0.495792,HW10,spSpec-52738-1296-050_comb.fit
083332.92+164411.0,HST,8.29E+29,TRUE,FALSE,FALSE,0.460528,HW10,spSpec-53712-2276-508_skysub.fit
083510.36+035901.1,HST,6.3E+29,TRUE,FALSE,FALSE,0.492039,HW10,spSpec-52646-1186-098_skysub.fit
085116.14+424328.8,HST,1.03E+30,TRUE,FALSE,FALSE,0.482517,HW10,spSpec-52592-0896-063_skysub.fit
091451.42+421957.0,HST,7.44E+29,TRUE,FALSE,FALSE,0.549563,HW10,spSpec-52674-1201-225_skysub.fit
093502.52+433110.6,HST,3.89E+30,TRUE,FALSE,FALSE,0.458625,HW10,spSpec-52325-0870-080_comb.fit
100054.96+262242.4,HST,7.17E+29,TRUE,FALSE,FALSE,0.505782,HW10,spSpec-53740-2344-538_skysub.fit
103320.65+274024.2,HST,9.28E+29,TRUE,FALSE,FALSE,0.535694,HW10,spSpec-53794-2353-600_skysub.fit
111138.66+575030.0,HST,6.79E+29,TRUE,FALSE,FALSE,0.465551,HW10,spSpec-52378-0950-014_skysub.fit
111941.12+595108.7,HST,1.13E+30,TRUE,FALSE,FALSE,0.488555,HW10,spSpec-52398-0951-446_skysub.fit
112224.15+031802.6,HST,9.28E+29,TRUE,FALSE,FALSE,0.475291,HW10,spSpec-52636-0511-567_skysub.fit
112614.93+310146.6,HST,7.05E+29,TRUE,FALSE,FALSE,0.495416,HW10,spSpec-53431-1979-007_skysub.fit
113327.78+032719.1,HST,4.58E+29,TRUE,FALSE,FALSE,0.524458,HW10,spSpec-51989-0513-340_skysub.fit
113923.66+002301.6,HST,1.49E+30,TRUE,FALSE,FALSE,0.471928,HW10,spSpec-51584-0283-322_comb.fit
123734.47+444731.7,HST,1.19E+30,TRUE,FALSE,FALSE,0.46126,HW10,spSpec-53062-1372-488_skysub.fit
125415.55+480850.6,HST,8.42E+29,TRUE,FALSE,FALSE,0.50268,HW10,spSpec-53116-1457-421_skysub.fit
131627.84+315825.7,HST,6.4E+29,TRUE,FALSE,FALSE,0.463783,HW10,spSpec-53852-2104-417_skysub.fit
134701.54+215401.1,HST,1.16E+30,TRUE,FALSE,FALSE,0.502083,HW10,spSpec-54527-2769-354_skysub.fit
140331.29+462804.8,HST,6.37E+29,TRUE,FALSE,FALSE,0.45907,HW10,spSpec-52723-1285-014_skysub.fit
145334.13+311401.4,HST,6.29E+29,TRUE,FALSE,FALSE,0.464529,HW10,spSpec-53816-1843-502_skysub.fit
152654.61+565512.3,HST,3.67E+29,TRUE,FALSE,FALSE,0.481869,HW10,spSpec-53437-0614-452_comb.fit
155837.77+081345.8,HST,9.04E+29,TRUE,FALSE,FALSE,0.517017,HW10,spSpec-53228-1728-218_skysub.fit
234145.51-004640.5,HST,9.5E+29,TRUE,FALSE,FALSE,0.524498,HW10,spSpec-51783-0385-126_comb.fit
