#zbin zmean nqsos gimode ugmode grmode rimode izmode
0.10 0.105 227 0.804 0.301 0.347 0.457 0.057
0.14 0.141 292 0.738 0.208 0.315 0.424 0.016
0.17 0.172 425 0.696 0.135 0.317 0.402 0.010
0.19 0.190 177 0.615 -0.054 0.222 0.378 -0.004
0.20 0.200 199 0.678 0.009 0.320 0.372 0.039
0.21 0.210 234 0.712 0.104 0.345 0.377 -0.017
0.22 0.220 268 0.570 0.053 0.259 0.341 0.003
0.23 0.230 290 0.629 0.047 0.293 0.342 0.032
0.24 0.240 332 0.599 0.032 0.318 0.294 0.096
0.25 0.250 332 0.598 0.116 0.398 0.246 0.218
0.26 0.260 328 0.379 0.013 0.281 0.100 0.279
0.27 0.270 328 0.357 0.105 0.255 0.116 0.374
0.28 0.280 364 0.393 0.056 0.291 0.093 0.443
0.29 0.290 369 0.362 0.031 0.294 0.065 0.476
0.30 0.300 401 0.344 0.071 0.266 0.059 0.477
0.31 0.310 431 0.369 0.099 0.300 0.060 0.488
0.32 0.320 448 0.300 0.074 0.247 0.065 0.501
0.33 0.330 480 0.338 0.056 0.259 0.073 0.495
0.34 0.340 549 0.302 0.070 0.221 0.077 0.492
0.35 0.350 597 0.320 0.082 0.241 0.070 0.506
0.36 0.360 634 0.249 0.103 0.181 0.074 0.449
0.37 0.370 650 0.285 0.122 0.169 0.094 0.438
0.38 0.380 625 0.327 0.165 0.172 0.149 0.416
0.39 0.390 745 0.262 0.124 0.117 0.139 0.387
0.40 0.400 760 0.309 0.157 0.118 0.183 0.384
0.41 0.410 794 0.301 0.193 0.106 0.193 0.341
0.42 0.420 832 0.277 0.190 0.091 0.202 0.293
0.43 0.430 900 0.289 0.192 0.061 0.226 0.261
0.44 0.440 927 0.320 0.228 0.081 0.228 0.235
0.45 0.450 914 0.283 0.231 0.038 0.239 0.221
0.46 0.460 918 0.319 0.226 0.075 0.265 0.196
0.47 0.470 967 0.301 0.221 0.020 0.244 0.199
0.48 0.480 997 0.311 0.234 0.027 0.257 0.178
0.49 0.490 1122 0.301 0.239 0.023 0.267 0.175
0.50 0.500 1096 0.308 0.242 0.028 0.286 0.155
0.51 0.510 1094 0.279 0.288 0.013 0.269 0.113
0.52 0.520 1196 0.245 0.259 0.006 0.233 0.112
0.53 0.530 1223 0.266 0.298 0.020 0.251 0.101
0.54 0.540 1280 0.249 0.296 0.005 0.244 0.067
