name,RA_1,Dec_1,REDSHIFT_1,PLATE_1,FIBER_1,MJD_1,UNIFORM_TARGET,MI_Z2,LOGLBOL,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL_MGII,EW_MGII,LOGL_BROAD_MGII,EW_BROAD_MGII,LOGL_CIV,EW_CIV,VOFF_CIV_PEAK,LOGEDD_RATIO,Z_HW,E_BV
095004.94-002012.2,147.520612,-0.336744,1.7755999565124512,267,275,51608,0,-27.635966811890324,47.09448912139192,0,0,0.0,-26.560171170304034,-1.0,44.376720987060835,26.967853098783397,44.366028744430466,26.312016400196068,44.90108663579435,36.11195470799572,712.104034521381,-0.4940115580671005,1.779394,0.06973931193351746
095938.28-003500.8,149.909527,-0.583571,1.8766000270843506,268,59,51633,0,-26.986036566949387,46.84901980309188,0,0,0.0,-26.838923550007067,-1.0,44.163982004004396,28.819892683530767,44.13208541106229,26.779087010251605,44.65848404156268,32.642452399598646,305.75487618353753,-0.837156695903353,1.882529,0.03540700674057007
101033.44-004724.5,152.639355,-0.790145,1.6675000190734863,270,213,51909,0,-27.53981053366975,47.03192224262662,1,0,0.0,-26.595547977170725,-1.0,44.41336936157552,34.569696306285664,44.408935350171014,34.21854609073269,44.929560601096426,56.72733724573514,-26.149362625868786,-0.7809219093423465,1.668503,0.044318653643131256
101100.92+002039.4,152.753859,0.34429099999999996,1.7487000226974487,270,491,51909,0,-26.907112175773246,46.71316952614928,0,0,0.0,-26.916639538005885,-1.0,43.99335013222003,26.541603172190918,43.98934398349472,26.29789596439386,44.42108981000617,25.101699026862875,1000.490717600353,-0.33759088714194974,1.750491,0.03193135932087898
101826.85-000951.1,154.61191100000002,-0.16420099999999999,1.815600037574768,271,152,51883,0,-27.17763918180389,46.78251359685985,0,0,0.0,-26.88615403418689,-1.0,44.11160039870694,29.946692435609638,44.1048755876556,29.486556056612805,44.49916035009914,28.892387726554173,530.3844519454666,-0.5646741171687211,1.823599,0.04881754517555237
101651.73-003347.0,154.215577,-0.5630689999999999,1.8281999826431274,271,226,51883,0,-26.7888828256509,46.78731070868106,0,2,126.750283474235,-26.879164300531613,959.650822417187,44.19188505587999,35.39406361912019,44.183424335143755,34.71120627625658,44.645584899533134,36.2381787826006,701.4177024924114,-0.8643537505127767,1.825597,0.04438459128141403
102542.36-005543.9,156.42651,-0.928881,1.7690999507904053,272,53,51941,0,-27.50341920820965,47.03366664721644,0,0,0.0,-26.614286572889483,-1.0,44.245704184567934,22.866562212801842,44.23587870166334,22.355037063424557,44.813488378388264,32.450499983018496,818.9463571903054,-0.394832588725869,1.77691,0.05841309577226639
102258.15-004052.1,155.74231,-0.681142,1.7562999725341797,272,219,51941,0,-27.022345682816866,46.792945473932924,0,0,0.0,-26.853504526558712,-1.0,44.18006972006607,34.34801300250371,44.18006972006607,34.34801300250371,44.63442411958282,43.086767052187675,327.1554314807326,-0.3658521830180561,1.761497,0.054865844547748566
102121.93-003442.4,155.341406,-0.578448,2.0680999755859375,272,265,51941,0,-27.344024178735527,46.90850608031808,0,0,0.0,-26.790020271165478,-1.0,44.23830391842398,25.128121215102087,44.198301544646604,22.931033373067372,44.66119809567604,32.02725998555344,680.0438929327199,-0.6971858974051699,2.071833,0.05383841320872307
101843.18-003451.4,154.679932,-0.580968,1.7599999904632568,272,313,51941,0,-27.31636603644833,46.927176091768,0,0,0.0,-26.72656454557656,-1.0,44.2682481308902,31.045036809087545,44.26278827395342,30.657188357010398,44.49746457182797,25.088284283635094,968.4614898370164,-0.6003767695444253,1.764261,0.05070243775844574
102329.94+001309.9,155.874789,0.21944,1.8961000442504883,272,463,51941,0,-27.781619407184774,46.92900354241529,0,0,0.0,-26.76935221181578,-1.0,44.54615589937613,57.91232487555579,44.524028264888074,55.03555690189776,45.08806556769569,81.47362251589952,-90.43136624275769,-0.519555804621227,1.90278,0.045378677546978
